#,"Country,",Total,New,Total,New,Total,New,Active,"Serious,",Tot Cases/,Deaths/,Total,Tests/,Population
,Other,Cases,Cases,Deaths,Deaths,Recovered,Recovered,Cases,Critical,1M pop,1M pop,Tests,1M pop,
224,Falkland Islands,"1,930",,,,"1,930",,0,,"5,45,352",,"8,632","24,39,107","3,539"
225,Montserrat,"1,403",,8,,"1,376",,19,,"2,82,578","1,611","17,762","35,77,442","4,965"
226,Niue,801,,,,801,,0,,"4,93,835",,,,"1,622"
227,Diamond Princess,712,,13,,699,,0,,,,,,
228,Vatican City,29,,,,29,,0,,"36,295",,,,799
229,Western Sahara,10,,1,,9,,0,,16,2,,,"6,26,161"
230,MS Zaandam,9,,2,,7,,0,,,,,,
231,Tokelau,5,,,,,,5,,"3,628",,,,"1,378"
,Total:,"68,72,25,609","15,752","68,66,733",10,"65,97,31,745","15,765","2,06,27,131","39,389","88,164.60",880.9,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
