#,"Country,",Total,New,Total,New,Total,New,Active,"Serious,",Tot Cases/,Deaths/,Total,Tests/,Population
,Other,Cases,Cases,Deaths,Deaths,Recovered,Recovered,Cases,Critical,1M pop,1M pop,Tests,1M pop,
176,Timor-Leste,"23,428",,138,,"23,102",,188,,"17,108",101,"2,78,529","2,03,391","13,69,429"
177,Burkina Faso,"22,056",,396,,"21,596",,64,,998,18,"2,48,995","11,265","2,21,02,838"
178,Liechtenstein,"21,437",,91,,"21,345",,1,,"5,58,444","2,371","1,12,457","29,29,559","38,387"
179,Gibraltar,"20,550",,113,,"16,579",,"3,858",,"6,09,720","3,353","5,34,283","1,58,52,213","33,704"
180,Grenada,"19,693",,238,,"19,358",,97,4,"1,73,545","2,097","1,82,981","16,12,523","1,13,475"
181,Bermuda,"18,860",,165,,"18,685",,10,,"3,04,493","2,664","10,29,558","1,66,22,128","61,939"
182,Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,728",33,,,"67,79,100"
183,South Sudan,"18,368",,138,,"18,115",,115,1,"1,581",12,"4,10,280","35,313","1,16,18,511"
184,Tajikistan,"17,786",,125,,"17,264",,397,,"1,786",13,,,"99,57,464"
185,Equatorial Guinea,"17,229",,183,,"16,907",,139,5,"11,512",122,"3,65,697","2,44,342","14,96,662"
186,Tonga,"16,814",,13,,"15,638",,"1,163",,"1,56,048",121,"5,35,009","49,65,327","1,07,749"
187,Samoa,"16,737",,31,,"1,605",,"15,101",,"82,759",153,"1,87,397","9,26,612","2,02,239"
188,Monaco,"16,178",,67,,"15,992",,119,4,"4,06,656","1,684","78,646","19,76,875","39,783"
189,Marshall Islands,"16,081",,17,,"15,954",,110,,"2,67,762",283,,,"60,057"
190,Dominica,"15,760",,74,,"15,673",,13,,"2,17,848","1,023","2,29,344","31,70,187","72,344"
191,Djibouti,"15,690",,189,,"15,427",,74,,"15,441",186,"3,05,941","3,01,094","10,16,097"
192,CAR,"15,368",,113,,"15,200",,55,2,"3,063",23,"81,294","16,205","50,16,678"
193,Gambia,"12,626",,372,,"12,189",,65,,"4,935",145,"1,55,686","60,851","25,58,482"
194,Saint Martin,"12,293",,63,,"1,399",,"10,831",7,"3,09,414","1,586","1,12,382","28,28,643","39,730"
195,Vanuatu,"12,014",,14,,"11,976",,24,,"37,330",44,"24,976","77,606","3,21,832"
196,Greenland,"11,971",,21,,"2,761",,"9,189",4,"2,10,117",369,"1,64,926","28,94,810","56,973"
197,Yemen,"11,945",,"2,159",,"9,124",,662,23,383,69,"3,29,592","10,579","3,11,54,867"
198,Caribbean Netherlands,"11,682",,38,,"10,476",,"1,168",,"4,38,398","1,426","30,126","11,30,559","26,647"
199,Sint Maarten,"11,030",,92,,"10,905",,33,N/A,"2,50,876","2,093","62,056","14,11,454","43,966"
200,Eritrea,"10,189",,103,,"10,086",,0,,"2,782",28,"23,693","6,470","36,62,244"
201,Niger,"9,931",,312,,"8,890",,729,1,381,12,"2,54,538","9,759","2,60,83,660"
202,St. Vincent Grenadines,"9,611",,124,,"9,480",,7,,"86,158","1,112","1,14,024","10,22,169","1,11,551"
203,Guinea-Bissau,"9,350",,176,,"8,929",,245,6,"4,531",85,"1,45,231","70,385","20,63,367"
204,Antigua and Barbuda,"9,106",,146,,"8,954",,6,1,"91,509","1,467","18,901","1,89,943","99,509"
205,Comoros,"9,105",,161,,"8,939",,5,,"10,034",177,,,"9,07,419"
206,Liberia,"8,090",,295,,"7,783",,12,2,"1,525",56,"1,39,824","26,356","53,05,117"
207,Sierra Leone,"7,762",,126,,N/A,N/A,N/A,,934,15,"2,59,958","31,296","83,06,436"
208,Chad,"7,698",,194,,"4,874",,"2,630",,442,11,"1,91,341","10,988","1,74,13,580"
209,British Virgin Islands,"7,305",,64,,N/A,N/A,N/A,,"2,38,757","2,092","1,07,339","35,08,269","30,596"
210,Cook Islands,"7,062",,2,,"7,059",,1,,"4,01,912",114,"19,690","11,20,596","17,571"
211,Saint Kitts and Nevis,"6,598",,48,,"6,550",,0,,"1,22,478",891,"1,26,939","23,56,351","53,871"
212,Sao Tome and Principe,"6,568",,80,,"6,482",,6,,"28,848",351,"29,036","1,27,530","2,27,679"
213,Turks and Caicos,"6,565",,38,,"6,509",,18,4,"1,65,195",956,"6,12,335","1,54,08,143","39,741"
214,Palau,"5,999",,9,,"5,990",,0,,"3,29,019",494,"69,574","38,15,828","18,233"
215,St. Barth,"5,485",,6,,N/A,N/A,N/A,,"5,51,533",603,"78,646","79,08,095","9,945"
216,Nauru,"5,393",,1,,"5,347",,45,,"4,94,635",92,"20,509","18,81,042","10,903"
217,Kiribati,"5,025",,24,,"2,703",,"2,298",3,"40,715",194,,,"1,23,419"
218,Anguilla,"3,904",,12,,"3,879",,13,4,"2,56,336",788,"51,382","33,73,736","15,230"
219,Macao,"3,520",,121,,"3,398",,1,,"5,273",181,"7,850","11,760","6,67,490"
220,Saint Pierre Miquelon,"3,452",,2,,"2,449",,"1,001",1,"5,99,410",347,"25,400","44,10,488","5,759"
221,Wallis and Futuna,"3,427",,7,,438,,"2,982",,"3,12,056",637,"20,508","18,67,419","10,982"
222,Tuvalu,"2,805",,,,,,"2,805",,"2,32,471",,,,"12,066"
223,Saint Helena,"2,166",,,,2,,"2,164",,"3,54,211",,,,"6,115"
